field_family,subject,status,reason,blocking_source,fallback_used
§5.3,stage 0 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 1 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 10 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 11 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 12 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 13 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 14 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 15 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 16 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 17 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 18 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 19 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 2 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 20 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 21 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 21 route geometry,CONFLICTING,"Third-party GPX length disagrees with the official stage distance by 43.528 km, so it is not this stage's route. Elevation profile, gradients, climb detection and distance-based waypoint positioning are all withheld for this stage.",cyclingstage.com,
§5.3,stage 3 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 4 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 5 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 6 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 7 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 8 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 9 official geometry currency,CONFLICTING,"The geometry layer states 185.5 km where the official stage distance is 154.6 km. The layer is carrying a superseded route, so its line is not used; the stage amendment is the fact here, not the distance.",aso-arcgis,
§5.3,stage 9 published finish point,UNAVAILABLE,"The organiser's point layer publishes no finish for this stage, so its polyline cannot be oriented from Tier-0 evidence alone and falls back to the published KM0.",aso-arcgis,
§5.3,stage 9 route geometry,CONFLICTING,"Third-party GPX length disagrees with the official stage distance by 31.009 km, so it is not this stage's route. Elevation profile, gradients, climb detection and distance-based waypoint positioning are all withheld for this stage.",cyclingstage.com,
§5.4,stage 17 Côte de Rossillon: two official gradients,CONFLICTING,"The organiser publishes this climb twice and the two disagree about its average gradient: the roadbook's climb table says 4.60 % and the siting note attached to the summit's own coordinate says 1.60 %. Altitude (686 m) and length (1.70 km) are identical in both, so this is one climb described twice, not two climbs. Measuring the road itself over the stated 1.70 km gives 80 m of ascent, i.e. 4.7 %, on the aso-arcgis profile. Verdict: roadbook agrees with the road. Both published values are kept; neither is overwritten.",aso-arcgis,
§5.4,stage 9 Mont Bessou: two official gradients,CONFLICTING,"The organiser publishes this climb twice and the two disagree about its average gradient: the roadbook's climb table says 7.30 % and the siting note attached to the summit's own coordinate says 1.20 %. Altitude (977 m) and length (0.90 km) are identical in both, so this is one climb described twice, not two climbs. This stage has no trustworthy elevation profile, so the road itself cannot be measured and neither figure can be preferred. Both published values are kept; neither is overwritten.",aso-arcgis,
§5.4,stage 9 Suc au May: two official gradients,CONFLICTING,"The organiser publishes this climb twice and the two disagree about its average gradient: the roadbook's climb table says 7.70 % and the siting note attached to the summit's own coordinate says 7.50 %. Altitude (903 m) and length (3.80 km) are identical in both, so this is one climb described twice, not two climbs. This stage has no trustworthy elevation profile, so the road itself cannot be measured and neither figure can be preferred. Both published values are kept; neither is overwritten.",aso-arcgis,
§5.9,"points, mountains, youth and team classifications beyond the top ten",ACCESS_RESTRICTED,"letour.fr serves these tables only from robots-disallowed /ajax paths, so they are not fetched. A CC BY-SA encyclopaedic source supplies the top ten with its authority downgrade shown in the product. They are not derived, because they depend on intermediate-sprint and mountain placings that no reachable page publishes — deriving them would mean inventing the inputs. The general classification, which depends only on data this project holds, is derived in full for the entire field instead.",letour.fr,wikipedia
§5.9,stage 21 official stage result,UNAVAILABLE,"letour.fr publishes the final general classification at /rankings/stage-21, not that stage's result: the leading time there is the whole race's, not one day's. The classification is stored as the Tier-0 standing it is, and the stage's own placings come from the CC BY-SA article instead, at that authority.",letour.fr,wikipedia
